,ア,イ,ウ,エ,オ,ヤ,ユ,ヨ,イェ
ア,あ,い,う,え,お,や,ゆ,よ,いぇ
ァ,ぁ,ぃ,ぅ,ぇ,ぉ,ゃ,ゅ,ょ,
ウァ,うぁ,うぃ,,うぇ,うぉ,,,,
カ,か,き,く,け,こ,きゃ,きゅ,きょ,きぇ
ガ,が,ぎ,ぐ,げ,ご,ぎゃ,ぎゅ,ぎょ,ぎぇ
クァ,くぁ,くぃ,,くぇ,くぉ,,,くゎ,
グァ,ぐぁ,ぐぃ,,ぐぇ,ぐぉ,,,,
サ,さ,し,す,せ,そ,しゃ,しゅ,しょ,しぇ
ザ,ざ,じ,ず,ぜ,ぞ,じゃ,じゅ,じょ,じぇ
スィ,,すぃ,,,,,,,
ズィ,,ずぃ,,,,,,,
タ,た,ち,つ,て,と,ちゃ,ちゅ,ちょ,ちぇ
ダ,だ,ぢ,づ,で,ど,ぢゃ,ぢゅ,ぢょ,ぢぇ
ツァ,つぁ,つぃ,,つぇ,つぉ,,,,
ナ,な,に,ぬ,ね,の,にゃ,にゅ,にょ,にぇ
ハ,は,ひ,ふ,へ,ほ,ひゃ,ひゅ,ひょ,ひぇ
バ,ば,び,ぶ,べ,ぼ,びゃ,びゅ,びょ,びぇ
ファ,ふぁ,ふぃ,,ふぇ,ふぉ,,,ふゅ,
ヴァ,ゔぁ,ゔぃ,ゔ,ゔぇ,ゔぉ,,,ゔゅ,
パ,ぱ,ぴ,ぷ,ぺ,ぽ,ぴゃ,ぴゅ,ぴょ,ぴぇ
マ,ま,み,む,め,も,みゃ,みゅ,みょ,みぇ
ラ,ら,り,る,れ,ろ,りゃ,りゅ,りょ,りぇ
ティ,,てぃ,とぅ,,,,,てゅ,
ディ,,でぃ,どぅ,,,,,でゅ,
ワ,わ,ゐ,,ゑ,を,,,ゎ,
